dataset,name,k,solver,time,timeout,numsol,expd,gen,qsize,pr-frontier,pr-sol,pr-fea,pr-post,pr-extra
Dumas,n80w80.001,10,makespan-order,0.1019,0,2,11573,102610,2324,18267,0,1,72769,473508
Dumas,n80w80.001,10,makespan-order-mst,3.531,0,2,10207,89765,2073,15927,0,1,63630,417542
Dumas,n60w20.003,10,combine,0.0004407,0,1,212,842,27,103,0,1,527,5696
Dumas,n60w20.003,10,makespan-order,0.0005341,0,1,214,856,27,103,0,1,539,5754
Dumas,n60w20.003,10,makespan-order-mst,0.01197,0,1,188,730,24,94,0,1,448,4968
Dumas,n80w60.001,10,combine,0.0244,0,1,4125,33148,1095,6810,0,1,22213,155188
Dumas,n80w60.001,10,makespan-order,0.02482,0,1,4140,33206,1019,7031,0,1,22035,155088
Dumas,n80w60.001,10,makespan-order-mst,0.9673,0,1,3584,28026,912,5886,0,1,18556,133220
Dumas,n80w20.005,10,combine,0.0009592,0,1,322,1422,64,177,0,1,923,9255
Dumas,n80w20.005,10,makespan-order,0.0009931,0,1,324,1422,43,175,0,1,923,9310
Dumas,n80w20.005,10,makespan-order-mst,0.02548,0,1,306,1326,44,170,0,1,850,8736
Dumas,n60w40.005,10,combine,0.001572,0,1,567,2710,107,395,0,1,1748,14960
Dumas,n60w40.005,10,makespan-order,0.001649,0,1,585,2818,91,410,0,1,1823,15357
Dumas,n60w40.005,10,makespan-order-mst,0.04545,0,1,505,2329,75,360,0,1,1464,13190
Dumas,n200w20.005,10,combine,0.01519,0,1,2070,12649,463,2269,0,1,8310,230104
Dumas,n200w20.005,10,makespan-order,0.01635,0,1,2042,12357,282,2175,0,1,8140,224967
Dumas,n200w20.005,10,makespan-order-mst,1.824,0,1,1773,10607,262,1907,0,1,6927,194751
Dumas,n60w80.002,10,combine,0.07817,0,1,11675,104739,4070,18574,0,1,74490,357170
Dumas,n60w80.002,10,makespan-order,0.08234,0,1,10906,98179,1774,17102,0,1,70171,335770
Dumas,n60w80.002,10,makespan-order-mst,2.319,0,1,9822,88035,1592,15583,0,1,62630,303202
Dumas,n20w60.005,10,combine,0.0001415,0,1,87,323,20,52,0,1,184,599
Dumas,n20w60.005,10,makespan-order,0.0001614,0,1,97,358,25,61,0,1,200,659
Dumas,n20w60.005,10,makespan-order-mst,0.0009537,0,1,86,320,20,52,0,1,182,593
Dumas,n20w40.005,10,combine,0.0001265,0,1,63,219,14,28,0,1,128,409
Dumas,n20w40.005,10,makespan-order,8.805e-05,0,1,58,198,16,25,0,1,115,375
Dumas,n20w40.005,10,makespan-order-mst,0.0006117,0,1,55,184,14,25,0,1,104,352
Dumas,n40w60.005,10,combine,0.002897,0,1,837,4935,203,960,0,1,3138,13703
Dumas,n40w60.005,10,makespan-order,0.00309,0,1,835,4935,206,910,0,1,3190,13689
Dumas,n40w60.005,10,makespan-order-mst,0.0456,0,1,730,4310,173,824,0,1,2756,12457
Dumas,n60w100.003,10,combine,0.6133,0,2,53200,567622,34133,102677,0,1,411744,938544
Dumas,n60w100.003,10,makespan-order,0.9515,0,2,50617,535157,15451,96499,0,1,388040,880009
Dumas,n60w100.003,10,makespan-order-mst,7.087,0,4,46634,490987,14450,90740,0,1,353610,814543
Dumas,n100w40.004,10,combine,0.01412,0,2,2278,15863,766,3306,0,1,10278,144081
Dumas,n100w40.004,10,makespan-order,0.0147,0,2,2404,16640,357,3433,0,1,10802,149617
Dumas,n100w40.004,10,makespan-order-mst,0.9092,0,2,2012,13828,268,2968,0,1,8847,125125
Dumas,n150w40.004,10,combine,0.09138,0,1,10224,90266,3154,18073,0,1,61969,945051
Dumas,n150w40.004,10,makespan-order,0.09894,0,1,9759,85173,3545,17003,0,1,58411,899849
Dumas,n150w40.004,10,makespan-order-mst,9.616,0,1,8791,76144,2833,16526,0,1,50827,807422
Dumas,n20w20.002,10,combine,3.993e-05,0,1,27,89,3,2,0,1,60,216
Dumas,n20w20.002,10,makespan-order,3.923e-05,0,1,27,89,3,2,0,1,60,216
Dumas,n20w20.002,10,makespan-order-mst,0.0002909,0,1,27,89,3,2,0,1,60,216
Dumas,n60w100.004,10,combine,0.9504,0,2,73867,708094,38173,165064,0,1,469162,1200540
Dumas,n60w100.004,10,makespan-order,1.107,0,2,68464,648802,19227,152752,0,1,427585,1121323
